frequency_hz,decibels
20,103.436
20.144928,103.438
20.290907,103.44
20.437943,103.442
20.586044,103.446
20.73522,103.452
20.885475,103.458
21.036821,103.463
21.189262,103.467
21.342808,103.47
21.497467,103.471
21.653246,103.469
21.810154,103.464
21.968201,103.456
22.12739,103.443
22.287735,103.426
22.449242,103.406
22.611917,103.382
22.775772,103.357
22.940815,103.33
23.107054,103.306
23.274498,103.285
23.443153,103.269
23.613033,103.258
23.784142,103.253
23.956491,103.254
24.130091,103.258
24.304947,103.265
24.481071,103.272
24.65847,103.276
24.837156,103.276
25.017136,103.272
25.198421,103.261
25.38102,103.247
25.564941,103.227
25.750195,103.207
25.93679,103.185
26.124741,103.166
26.314051,103.149
26.504732,103.136
26.696796,103.127
26.890253,103.12
27.085112,103.114
27.281382,103.108
27.479073,103.101
27.678198,103.091
27.878765,103.08
28.080786,103.066
28.284271,103.052
28.489231,103.039
28.695675,103.026
28.903616,103.015
29.113064,103.006
29.324028,102.996
29.536524,102.985
29.750557,102.973
29.966141,102.958
30.183289,102.939
30.40201,102.918
30.622314,102.895
30.844217,102.87
31.067726,102.845
31.292856,102.82
31.519617,102.796
31.74802,102.772
31.978081,102.749
32.209808,102.725
32.443211,102.701
32.67831,102.676
32.915108,102.651
33.153625,102.626
33.393871,102.601
33.635857,102.577
33.879597,102.553
34.125103,102.53
34.372387,102.507
34.621464,102.483
34.872345,102.459
35.125042,102.433
35.379574,102.407
35.635948,102.38
35.89418,102.352
36.154285,102.325
36.416275,102.299
36.680161,102.273
36.945961,102.249
37.213688,102.224
37.483353,102.197
37.754974,102.169
38.028561,102.137
38.304131,102.102
38.581699,102.067
38.861279,102.032
39.142883,102.001
39.426529,101.975
39.712231,101.954
40,101.936
40.289856,101.919
40.581814,101.901
40.875885,101.88
41.172089,101.855
41.47044,101.826
41.77095,101.794
42.073643,101.76
42.378525,101.725
42.685616,101.69
42.994934,101.655
43.306492,101.62
43.620308,101.586
43.936401,101.554
44.25478,101.521
44.57547,101.488
44.898483,101.454
45.223835,101.418
45.551544,101.38
45.88163,101.342
46.214108,101.306
46.548996,101.271
46.886307,101.239
47.226067,101.209
47.568283,101.178
