frequency_hz,decibels
20,93.628
20.144928,93.63
20.290907,93.636
20.437943,93.645
20.586044,93.657
20.73522,93.672
20.885475,93.689
21.036821,93.708
21.189262,93.729
21.342808,93.751
21.497467,93.774
21.653246,93.797
21.810154,93.82
21.968201,93.842
22.12739,93.863
22.287735,93.882
22.449242,93.899
22.611917,93.915
22.775772,93.928
22.940815,93.939
23.107054,93.948
23.274498,93.954
23.443153,93.958
23.613033,93.96
23.784142,93.961
23.956491,93.959
24.130091,93.957
24.304947,93.954
24.481071,93.95
24.65847,93.946
24.837156,93.942
25.017136,93.94
25.198421,93.938
25.38102,93.938
25.564941,93.94
25.750195,93.943
25.93679,93.948
26.124741,93.955
26.314051,93.963
26.504732,93.973
26.696796,93.984
26.890253,93.996
27.085112,94.008
27.281382,94.021
27.479073,94.033
27.678198,94.044
27.878765,94.055
28.080786,94.063
28.284271,94.07
28.489231,94.075
28.695675,94.078
28.903616,94.078
29.113064,94.075
29.324028,94.07
29.536524,94.062
29.750557,94.052
29.966141,94.04
30.183289,94.026
30.40201,94.01
30.622314,93.993
30.844217,93.975
31.067726,93.955
31.292856,93.935
31.519617,93.914
31.74802,93.893
31.978081,93.872
32.209808,93.85
32.443211,93.829
32.67831,93.807
32.915108,93.786
33.153625,93.765
33.393871,93.744
33.635857,93.723
33.879597,93.702
34.125103,93.682
34.372387,93.661
34.621464,93.64
34.872345,93.618
35.125042,93.596
35.379574,93.573
35.635948,93.55
35.89418,93.525
36.154285,93.5
36.416275,93.474
36.680161,93.448
36.945961,93.422
37.213688,93.397
37.483353,93.372
37.754974,93.35
38.028561,93.33
38.304131,93.313
38.581699,93.3
38.861279,93.292
39.142883,93.288
39.426529,93.289
39.712231,93.294
40,93.303
40.289856,93.315
40.581814,93.328
40.875885,93.342
41.172089,93.355
41.47044,93.366
41.77095,93.374
42.073643,93.377
42.378525,93.375
42.685616,93.37
42.994934,93.36
43.306492,93.348
43.620308,93.334
43.936401,93.321
44.25478,93.309
44.57547,93.302
44.898483,93.3
45.223835,93.305
45.551544,93.316
45.88163,93.333
46.214108,93.353
46.548996,93.376
46.886307,93.399
47.226067,93.419
47.568283,93.434
47.912983,93.442
48.260181,93.444
48.609894,93.439
48.962143,93.429
49.31694,93.417
49.674313,93.406
50.034271,93.4
50.396843,93.404
50.762039,93.421
51.129883,93.454
51.500389,93.502
51.873581,93.566
52.249481,93.642
52.628101,93.725
53.009464,93.811
53.393593,93.894
53.780506,93.968
54.170223,94.029
54.562763,94.073
54.958145,94.099
55.356396,94.106
55.75753,94.095
56.161572,94.067
56.568542,94.027
56.978462,93.978
57.39135,93.925
57.807232,93.872
58.226128,93.824
58.648056,93.784
59.073048,93.756
59.501114,93.74
59.932281,93.739
60.366577,93.753
60.80402,93.78
61.244629,93.82
61.688435,93.871
62.135452,93.932
62.585712,94.002
63.039234,94.079
63.49604,94.16
63.956161,94.246
64.419617,94.334
64.886421,94.421
65.356621,94.507
65.830215,94.589
66.307251,94.663
66.787743,94.728
67.271713,94.781
67.759193,94.82
68.250206,94.842
68.744774,94.847
69.242928,94.835
69.74469,94.805
70.250084,94.76
70.759148,94.704
71.271896,94.64
71.788361,94.571
72.308571,94.503
72.83255,94.437
73.360321,94.378
73.891922,94.324
74.427376,94.275
74.966705,94.23
75.509949,94.185
76.057121,94.138
76.608261,94.089
77.163399,94.035
77.722557,93.978
78.285767,93.92
78.853058,93.862
79.424461,93.808
80,93.758
80.579712,93.713
81.163628,93.672
81.75177,93.633
82.344177,93.596
82.94088,93.56
83.541901,93.525
84.147285,93.491
84.75705,93.458
85.371231,93.428
85.989868,93.397
86.612984,93.366
87.240616,93.333
87.872803,93.296
88.50956,93.256
89.15094,93.215
89.796967,93.178
90.44767,93.147
91.103088,93.125
91.76326,93.112
92.428215,93.104
93.097992,93.095
93.772614,93.081
94.452133,93.057
95.136566,93.022
95.825966,92.978
96.520363,92.929
97.219788,92.88
97.924286,92.837
98.633881,92.803
99.348625,92.777
100.068542,92.76
100.793686,92.747
101.524078,92.736
102.259766,92.726
103.000778,92.715
103.747162,92.705
104.498962,92.698
105.256203,92.693
106.018929,92.689
106.787186,92.682
107.561012,92.667
108.340446,92.644
109.125526,92.613
109.91629,92.579
110.712791,92.548
111.51506,92.521
112.323143,92.499
113.137085,92.478
113.956924,92.457
114.7827,92.437
115.614464,92.423
116.452255,92.416
117.296112,92.415
118.146095,92.415
119.002228,92.405
119.864563,92.383
120.733154,92.351
121.60804,92.318
122.489258,92.292
123.376869,92.275
124.270905,92.261
125.171425,92.245
126.078468,92.222
126.992081,92.195
127.912323,92.171
128.839233,92.152
129.772842,92.134
130.713242,92.109
131.660431,92.077
132.614502,92.044
133.575485,92.021
134.543427,92.015
135.518387,92.023
136.500412,92.03
137.489548,92.021
138.485855,91.994
139.48938,91.959
140.500168,91.932
141.518295,91.92
142.543793,91.919
143.576721,91.916
144.617142,91.903
145.6651,91.884
146.720642,91.873
147.783844,91.879
148.854752,91.893
149.933411,91.899
151.019897,91.88
152.114243,91.838
153.216522,91.789
154.326797,91.755
155.445114,91.748
156.571533,91.76
157.706116,91.767
158.848923,91.756
160,91.727
161.159424,91.697
162.327255,91.68
163.50354,91.675
164.688354,91.673
165.88176,91.662
167.083801,91.645
168.294571,91.629
169.514099,91.623
170.742462,91.622
171.979736,91.621
173.225967,91.615
174.481232,91.603
175.745605,91.589
177.019119,91.576
178.30188,91.567
179.593933,91.562
180.89534,91.56
182.206177,91.559
183.52652,91.554
184.85643,91.545
186.195984,91.538
187.545227,91.538
188.904266,91.543
190.273132,91.545
191.651932,91.541
193.040726,91.533
194.439575,91.522
195.848572,91.508
197.267761,91.499
198.69725,91.509
200.137085,91.528
201.587372,91.525
203.048157,91.491
204.519531,91.458
206.001556,91.457
207.494324,91.47
208.997925,91.476
210.512405,91.483
212.037857,91.492
213.574371,91.478
215.122025,91.445
216.680893,91.441
218.251053,91.474
219.832581,91.493
221.425583,91.485
223.030121,91.482
224.646286,91.491
226.27417,91.489
227.913849,91.48
229.565399,91.489
231.228928,91.504
232.90451,91.506
234.592224,91.503
236.292191,91.505
238.004456,91.503
239.729126,91.501
241.466309,91.508
243.21608,91.515
244.978516,91.515
246.753738,91.523
248.541809,91.534
250.34285,91.536
252.156937,91.54
253.984161,91.547
255.824646,91.551
257.678467,91.56
259.545685,91.569
261.426483,91.566
263.320862,91.572
265.229004,91.585
267.15097,91.586
269.086853,91.598
271.036774,91.621
273.000824,91.614
274.979095,91.619
276.97171,91.653
278.97876,91.635
281.000336,91.624
283.036591,91.673
285.087585,91.65
287.153442,91.644
289.234283,91.716
291.3302,91.666
293.441284,91.666
295.567688,91.756
297.709503,91.685
299.866821,91.716
302.039795,91.794
304.228485,91.708
306.433044,91.774
308.653595,91.82
310.890228,91.766
313.143066,91.843
315.412231,91.854
317.697845,91.835
320,91.889
322.318848,91.891
324.65451,91.9
327.00708,91.935
329.376709,91.917
331.763519,91.947
334.167603,91.985
336.589142,91.978
339.028198,92.034
341.484924,92.061
343.959473,92.055
346.451935,92.102
348.962463,92.102
351.491211,92.1
354.038239,92.139
356.60376,92.149
359.187866,92.169
361.79068,92.17
364.412354,92.242
367.05304,92.201
369.71286,92.238
372.391968,92.276
375.090454,92.27
377.808533,92.285
380.546265,92.35
383.303864,92.304
386.081451,92.361
388.87915,92.334
391.697144,92.343
394.535522,92.429
397.394501,92.298
400.27417,92.441
403.174744,92.431
406.096313,92.316
409.039062,92.385
412.003113,92.416
414.988647,92.359
417.99585,92.326
421.024811,92.402
424.075714,92.333
427.148743,92.278
430.244049,92.23
433.361786,92.22
436.502106,92.135
439.665161,92.123
442.851166,92.017
446.060242,92
449.292572,91.907
452.54834,91.941
455.827698,91.812
459.130798,91.808
462.457855,91.676
465.809021,91.702
469.184448,91.665
472.584381,91.644
476.008911,91.682
479.458252,91.698
482.932617,91.768
486.432159,91.778
489.957031,91.845
493.507477,91.914
497.083618,91.875
500.685699,92.01
504.313873,92.05
507.968323,92.045
511.649292,92.086
515.356934,92.119
519.09137,92.162
522.852966,92.205
526.641724,92.219
530.458008,92.237
534.301941,92.225
538.173706,92.249
542.073547,92.274
546.001648,92.294
549.958191,92.311
553.94342,92.337
557.95752,92.357
562.000671,92.388
566.073181,92.439
570.175171,92.389
574.306885,92.405
578.468567,92.398
582.6604,92.412
586.882568,92.438
591.135376,92.441
595.419006,92.494
599.733643,92.518
604.07959,92.52
608.45697,92.582
612.866089,92.612
617.30719,92.66
621.780457,92.678
626.286133,92.738
630.824463,92.763
635.395691,92.821
640,92.885
644.637695,92.922
649.309021,92.944
654.01416,92.978
658.753418,93.037
