Frequency,dB
19.5,115.1
19.8,115.1
20.1,115.1
20.3,115.1
20.6,115.2
20.9,115.3
21.2,115.4
21.6,115.5
21.9,115.6
22.2,115.7
22.5,115.7
22.8,115.7
23.2,115.6
23.5,115.6
23.8,115.7
24.2,115.7
24.5,115.8
24.9,115.8
25.3,115.9
25.6,115.9
26,116
26.4,116
26.8,115.9
27.2,115.9
27.5,115.9
28,115.8
28.4,115.8
28.8,115.7
29.2,115.7
29.6,115.8
30,115.9
30.5,116
30.9,116.1
31.4,116
31.8,115.9
32.3,115.8
32.8,115.9
33.2,115.9
33.7,115.9
34.2,116
34.7,116
35.2,116
35.7,116
36.2,116
36.8,116
37.3,115.9
37.9,115.8
38.4,115.8
39,115.9
39.5,115.8
40.1,115.7
40.7,115.5
41.3,115.4
41.9,115.4
42.5,115.5
43.1,115.7
43.7,115.8
44.4,115.7
45,115.6
45.7,115.4
46.3,115.1
47,115.1
47.7,115.3
48.4,115.4
49.1,115.3
49.8,115.3
50.5,115.3
51.3,115.4
52,115.3
52.8,115.3
53.5,115.2
54.3,115.1
55.1,114.9
55.9,114.9
56.7,114.9
57.5,115
58.4,115
59.2,114.7
60.1,114.7
61,114.7
61.8,114.7
62.7,114.7
63.7,114.7
64.6,114.7
65.5,114.6
66.5,114.5
67.4,114.5
68.4,114.6
69.4,114.5
70.4,114.4
71.5,114.4
72.5,114.4
73.5,114.2
74.6,114.1
75.7,114
76.8,114.1
77.9,114.1
79.1,114
80.2,113.9
81.4,113.7
82.6,113.5
83.8,113.4
85,113.4
86.2,113.5
87.5,113.4
88.7,113.4
90,113.3
91.3,113.1
92.7,113.2
94,113.2
95.4,112.9
96.8,112.8
98.2,112.9
99.6,113
101,112.8
103,112.7
104,112.6
106,112.5
107,112.4
109,112.4
110,112.5
112,112.4
113,112.3
115,112.3
117,112.2
118,112
120,112
122,111.9
124,111.9
125,111.7
127,111.7
129,111.8
131,111.9
133,111.7
135,111.6
137,111.4
139,111.1
141,111
143,111
145,111
147,110.9
149,110.8
151,110.7
154,110.7
156,110.6
158,110.7
160,110.7
163,110.6
165,110.5
168,110.4
170,110.2
172,110.1
175,110
177,110
180,110.1
183,110
185,109.9
188,109.8
191,109.7
194,109.8
196,109.7
199,109.6
202,109.4
205,109.3
208,109.3
211,109.3
214,109.3
217,109.2
220,109.2
224,109.1
227,109
230,108.9
234,108.9
237,108.9
240,108.8
244,108.8
247,108.7
251,108.6
255,108.5
258,108.3
262,108.2
266,108.2
270,108.3
274,108.3
278,108.2
282,108.2
286,108.1
290,108
294,107.9
298,107.8
303,107.8
307,107.7
312,107.6
316,107.7
321,107.6
325,107.7
330,107.7
335,107.6
340,107.4
345,107.4
350,107.5
355,107.6
360,107.5
365,107.4
371,107.5
376,107.6
382,107.4
387,107.3
393,107.2
398,107.2
404,107.3
410,107.3
416,107.1
422,107.1
428,107.1
434,107.1
441,107
447,107
454,107
460,106.9
467,106.8
474,106.8
481,106.8
488,106.7
495,106.7
502,106.7
509,106.8
517,106.8
524,106.7
532,106.6
540,106.6
547,106.8
555,106.7
563,106.8
572,106.7
580,106.7
588,106.7
597,106.7
606,106.7
614,106.7
623,106.6
632,106.6
642,106.7
651,106.7
660,106.7
670,106.7
680,106.7
690,106.7
700,106.8
710,106.8
720,106.8
731,106.9
741,106.9
752,106.9
763,106.9
774,106.9
785,106.9
797,106.9
808,107
820,107
832,106.9
844,107
856,107
869,107
882,107.1
894,107.2
907,107.3
921,107.3
934,107.3
948,107.4
961,107.6
975,107.5
990,107.7
1004,107.8
1019,107.8
1033,107.9
1048,108
1064,108.1
1079,108.2
1095,108.4
1111,108.5
1127,108.6
1143,108.7
1160,108.8
1177,109
1194,109.1
1211,109.2
1229,109.4
1247,109.5
1265,109.5
1283,109.6
1302,109.7
1321,109.9
1340,110
1360,110.1
1379,110.2
1399,110.2
1420,110.3
1440,110.4
1461,110.5
1483,110.5
1504,110.6
1526,110.7
1548,110.8
1571,110.9
1594,111
1617,111
1640,111.1
1664,111.2
1688,111.3
1713,111.4
1738,111.6
1763,111.7
1789,111.7
1815,111.9
1841,112
1868,112.1
1895,112.3
1923,112.3
1951,112.5
1979,112.6
2008,112.7
2037,112.7
2067,112.8
2097,113.1
2127,113.1
2158,113.2
2190,113.3
2221,113.5
2254,113.6
2287,113.7
2320,113.9
2354,114
2388,114.1
2423,114.2
2458,114.3
2494,114.4
2530,114.6
2567,114.7
2604,114.8
2642,114.9
2680,115
2719,115.1
2759,115.3
2799,115.4
2840,115.4
2881,115.5
2923,115.6
2965,115.6
3008,115.7
3052,115.7
3097,115.8
3142,115.8
3187,115.8
3234,115.8
3281,115.8
3328,115.8
3377,115.7
3426,115.7
3476,115.7
3526,115.6
3578,115.5
3630,115.5
3682,115.4
3736,115.4
3790,115.3
3846,115.3
3901,115.2
3958,115.1
4016,115
4074,115
4133,114.9
4194,114.9
4255,114.8
4316,114.7
4379,114.6
4443,114.5
4508,114.5
4573,114.4
4640,114.3
4707,114.2
4776,114.1
4845,114.1
4916,114
4987,113.9
5060,113.8
5133,113.8
5208,113.6
5284,113.5
5360,113.3
5438,113.2
5518,113.1
5598,112.9
5679,112.8
5762,112.6
5846,112.5
5931,112.3
6017,112.2
